I,Q,I_dpd,Q_dpd
-0.050958296,0.07740301,-0.06680114,0.093461454
0.213894676,0.095923047,0.15338916,0.110754356
0.42477526,0.097502159,0.3268707,0.1088717
0.517372528,0.135805128,0.40719262,0.11965951
0.456017159,0.234178439,0.3550585,0.17561589
0.246434659,0.369563209,0.18288663,0.25972086
-0.062836515,0.483606294,-0.058215894,0.3335157
-0.391664527,0.514317366,-0.30947804,0.36704785
-0.649975506,0.430819293,-0.5025339,0.32714874
-0.764229374,0.252564073,-0.5878101,0.21303321
-0.700810543,0.043016808,-0.5331222,0.05723259
-0.478298105,-0.118705005,-0.34967384,-0.06866806
-0.163303817,-0.173635226,-0.114444755,-0.09438618
0.150173504,-0.108465173,0.11482074,-0.046639875
0.371707071,0.040993426,0.27718994,0.07437624
0.444840524,0.208627397,0.327023,0.1839527
0.365239678,0.328560646,0.27069736,0.25621945
0.179013432,0.36216368,0.13287374,0.26414335
-0.038522981,0.309565921,-0.023632027,0.2110353
-0.214924589,0.202552587,-0.14962915,0.13001202
-0.309686841,0.085094563,-0.22252673,0.04862474
-0.327410562,-0.007195973,-0.2385462,-0.010058887
-0.309244645,-0.058766291,-0.22919694,-0.0419041
-0.30701552,-0.073349017,-0.23355672,-0.05163933
-0.35299293,-0.064310829,-0.2755799,-0.047172435
-0.440728756,-0.043838574,-0.35057628,-0.03238377
-0.527222,-0.017772885,-0.4243884,-0.008530028
-0.555999283,0.011920635,-0.45008397,0.021050513
-0.489709367,0.040536689,-0.3946438,0.049452603
-0.335165884,0.056128462,-0.2654342,0.0684682
-0.146684212,0.041853208,-0.114020325,0.06615424
-0.004045555,-0.014836053,0.00241372,0.013363138
0.025510576,-0.111132705,0.034109898,-0.07124902
-0.077158606,-0.22307052,-0.04477045,-0.17561008
-0.268490599,-0.309978892,-0.20215216,-0.25824732
-0.457618572,-0.32891215,-0.36199018,-0.27715704
-0.546232955,-0.253179663,-0.44750768,-0.20778272
-0.474755585,-0.086327676,-0.40259305,-0.06353149
-0.252585441,0.135455502,-0.23122025,0.12668635
0.042980339,0.354295082,-0.004672505,0.31172085
0.299792413,0.510538467,0.21831599,0.44276905
0.420968555,0.563187161,0.3387483,0.46294272
0.368597825,0.502485649,0.30802742,0.39091945
0.180303176,0.350227304,0.16364591,0.25262296
-0.04913897,0.148991851,-0.0060485974,0.08382352
-0.212129001,-0.053926654,-0.13441476,-0.070463434
-0.237146603,-0.220759104,-0.15528062,-0.17781904
-0.118984809,-0.330593784,-0.07208871,-0.24232754
0.083409218,-0.378794084,0.07118405,-0.26710415
0.279143856,-0.371279216,0.21638593,-0.2605029
0.390741485,-0.318108373,0.29546142,-0.22944537
0.389903909,-0.229849662,0.28719977,-0.17754254
0.306553388,-0.117583601,0.21648753,-0.102610305
0.208009955,0.005193641,0.1394935,-0.011992566
0.160307192,0.121572065,0.104869105,0.07859397
0.192275827,0.213058791,0.13120839,0.16273962
0.280935233,0.264061524,0.20655605,0.21506979
0.365250433,0.266900762,0.28367966,0.21807836
0.380497487,0.224613205,0.30587935,0.17723231
0.294948561,0.149855939,0.24450698,0.10752107
0.129605101,0.060273808,0.120792106,0.027712688
-0.049426874,-0.027455444,-0.019892864,-0.04875329
-0.162304001,-0.102078177,-0.11227765,-0.10005134
-0.154940967,-0.158850869,-0.10995718,-0.12637809
-0.027014644,-0.197310571,-0.017730735,-0.13405132
0.165352259,-0.217600222,0.12724923,-0.14375743
0.333601751,-0.217922168,0.25847778,-0.1453897
0.3960129,-0.194918362,0.3012116,-0.1405814
0.313880682,-0.146964557,0.23133606,-0.12147725
0.108283551,-0.078506685,0.0723968,-0.08257058
